蹑手蹑脚  ,  3  ,  {'anxiety': 0.53, 'love': 0.17, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
总想  ,  2  ,  {'expect': 0.65, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
如愿以偿  ,  6  ,  {'joy': 0.75, 'expect': 0.1, 'anxiety': 0.0, 'love': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
享受  ,  239  ,  {'love': 0.55, 'joy': 0.31, 'expect': 0.01, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
依恋  ,  12  ,  {'love': 0.83, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
生怕  ,  28  ,  {'anxiety': 0.66, 'love': 0.03, 'expect': 0.03, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
适应  ,  34  ,  {'love': 0.35, 'joy': 0.17, 'anxiety': 0.01, 'expect': 0.01, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
疲惫  ,  66  ,  {'anxiety': 0.44, 'sorrow': 0.28, 'hate': 0.16, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
难得  ,  35  ,  {'love': 0.24, 'joy': 0.19, 'anxiety': 0.14, 'sorrow': 0.04, 'expect': 0.03, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
清静  ,  7  ,  {'love': 0.34, 'joy': 0.21, 'sorrow': 0.04, 'anxiety': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
忙碌  ,  52  ,  {'anxiety': 0.45, 'sorrow': 0.08, 'hate': 0.08, 'love': 0.07, 'joy': 0.01, 'expect': 0.01, 'anger': 0.0, 'surprise': 0.0}
以致于  ,  1  ,  {'anxiety': 0.4, 'sorrow': 0.4, 'anger': 0.4, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'surprise': 0.0, 'hate': 0.0}
笑笑  ,  16  ,  {'joy': 0.51, 'love': 0.04, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
罢了  ,  11  ,  {'anxiety': 0.15, 'hate': 0.12, 'sorrow': 0.09, 'anger': 0.04, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'surprise': 0.0}
尽力  ,  10  ,  {'love': 0.35, 'expect': 0.27, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
做好  ,  31  ,  {'love': 0.28, 'joy': 0.27, 'expect': 0.12, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
接受  ,  41  ,  {'love': 0.32, 'joy': 0.18, 'expect': 0.1, 'anxiety': 0.04, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
面对  ,  32  ,  {'expect': 0.31, 'anxiety': 0.13, 'love': 0.08, 'joy': 0.06, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
成功  ,  199  ,  {'joy': 0.48, 'love': 0.35, 'expect': 0.01, 'surprise': 0.01, 'hate': 0.01, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0}
